'd	would/should/could/did
's grasp	la poigne/l'emprise
For me	is to express its effect on you or it's benefit for you, whether it's good or bad/expresses ideal suitability of the object for your use
To me	is to express opinion/expresses your opinion of perfection in the object.
a beacon	un phare
a bench	un banc
a bother	un ennui/un embêtement
a brake	un frein
a brewery	une brasserie
a bud	un bourgeon
a claw	une griffe
a clue	un indice
a crack of smile	un éclat de sourire
a display	un écran/un affichage
a duck	un canard
a few at a time	quelques-uns à la fois
a fitting punishment	une punition appropriée
a friend of mine's	un de mes amis
a friend of mine's an aspiring actor	un de mes amis est un acteur en herbe
a fuss	une histoire
a good for nothing	un bon a rien
a haul	un butin
a hawk	un falcon
a hedgehog	un hérisson
a hold of	une prise de
a kettle	une bouilloire
a knack	un talent
a lamp post	un lampadaire
a lighthouse	un phare
a little chat	une petite conversation
a little run down	un peu délabré
a mole	une taupe
a package	un colis/un paquet
a parcel	une parcelle/un colis
a pedestrian	un piéton
a place	un lieu/un endroit
a plot	terrain/parcelle/complot/une intrigue
a posting	une annonce
a real hard-on for cleanliness	un vrai dur à cuire pour la propreté
a scratch	une égratignure
a screw loose	une case en moins
a sign	un panneau/un signe
a swan	un cygne
a sweat	une sueur
a traffic light	un feu tricolor
a trafic jam	un embouteillage
a while yet	encore un moment
a while yet	un certain temps encore/encore un moment
a whole	un ensemble
a whole bunch	tout un tas
a wink	un clin d'oeil
a witness	un témoin
a wonder	merveille
abhor	abhorrer/détester/horreur
accounts	compte/comptabilité
accustom	habituer/accoutumer
accustomed	accoutumé/habitué
acknowledge	reconnaître
acquaint	familiariser
acquainted	connaissance
across	de l'autre côté
add up to	ajouter à
afford	permettre
afford	s'offrir/se permettre
afloat	à flot
afore	avant
aforementioned	susmentionné
agonizing	angoissant
ahead	avant/devant/en avant/en avance
airborne	aéroporté
akin	proche
akin to a yarn ball in the paws of a kitten	semblable à une pelote de laine dans les pattes d'un chaton
alas	Hélas
albeit	quoique
albeit	quoique/bien que
all manner	de toutes les manières
all manner of wondrous	toutes sortes de merveilles
all of sudden	soudainement/tout d'un coup
all on behalf	tout au nom
all people	tout le monde
all the people	toutes les personnes
all's Well That Ends Well	Tout est bien qui finit bien
along	le long
aloud	à haute voix
although	bien que/même si
although	même si
amidst	au milieu de
among	parmi
amongst	parmi
an all-out	un tout-en-un
an egg yolk	un jaune d'oeuf
an enigma	une énigme
an evidence	une évidence
and then some	et puis certains
anger	colère
anguish	angoisse
another plot	un autre complot
antsy	anxieux
anyway	de toute façon
appointment	rendez vous
are divided up	sont réparties
are you two meant	Êtes-vous deux faits l'un pour l'autre ?
arise	survenir/surgir
arrogation	arrogance
arrêter de tergiverser	arrêter de tergiverser
as a whole	dans son ensemble
as long as	aussi longtemps que
as long as i get it all today	tant que je reçois tout aujourd'hui
as much as they may want it	autant qu'ils le voudront
as such	En tant que tel
as we go	comme nous allons/au fur et à mesure
as well as how it might be wielded	ainsi que la façon dont il pourrait être utilisé
as wide	aussi large
aside	de côté/à part
asleep	endormi
aspire	aspirer
aspiring	aspirant/en herbe
aspiring	en herbe
assess	évaluer/estimer
assumption	supposition/hypothèse
astonish	étonner
astonishing	étonnant
astray	égaré
at a stalemate	dans une impasse
at a time	à la fois
at last	enfin
at least	au moins
at least we got to see	au moins on a pu voir
at the fact that	au fait que
at the time	a l'époque
atone	expier
attorneys	avocats
autant difficile au début qu'à la fin	as difficult at the beginning as at the end
automne	autumn/fall
awfully	terriblement
back then	à l'époque
back up	sauvegarde/sauvegarder
back up	sauvegarder
backfiring	retour de flamme
baker	boulanger
bare	nu/dépouillé
bargains	bonnes affaires
bartender	barman
bashful	timide
bat an eyelid	battre une paupière
bath	bain/baingoire/baigner
bathed	baigné
bawling	brailler
be in touch	être en contact
be my guest	soit mon invité
be poise	se poser/être poser
be poised	être prêt
be smooth sailing	naviguer en douceur
be up to	être prêt à
be up to it	être à la hauteur
beacon	balise/phare
bead	perle
bear	ours/porter/supporter/assumer
bear witness	témoigner
bearer	porteur
beckon	faire signe
become well versed	bien s'y connaître/se familiariser
been back	été de retour
befits	convient
behalf	au nom de
behaviour	comportement
behold	voici
below	ci-dessous
bemuse verbe	stupéfier/déconcerter
bemused	perplexe
bemused adj	perplex/confus
bench	banc
beneath	sous/au-dessous
besides	outre/en dehors de/par ailleurs
besides	outre/en dehors de/par ailleurs
besides that	en plus de cela/a côté de ça
bespoke	sur mesure
better than ever	mieux que jamais
beyond	au-delà
beyond hope	au-delà de l'espoir
bill	facture
bitter	amer
blanket	couverture
blasting	dynamitage
blasting agent	poudre a canon
blend	mélange
blockade	blocus
bloodstain	tâche de sang
bloom	fleur/fleurir
bloomed	fleurie
blow them up	les faire exploser
blown	soufflé
blurry	flou
boil	bouillir
boiling	ébullition
boils down to	se résume à
boldness	audace
bonds	obligations
bootstrap	amorcer
borrow	emprunter
bother	embêter
bother	ennui/déranger/embêter/gêner
brake	frein/freiner
brand	marque
brand goods	produits de marque
bravo	acclamation
brawn	muscle
breakout	éclater
brewery	brasserie
bring	apporté
bud	bourgeon/bourgeonner
buddies	copains
bulk	en gros
bunch	tas/bande/groupe
buried	enterré
bury	enterrer
bust	buste/casser/arrêter
busted	cassée
busted ass	se casser le cul
busted-ass goods	marchandises cassées
bustle	agitation
bustling	animé/vif/vivant
bustling street	rue animée
but never mind that	mais peu importe
but not to worry	mais ne vous inquiétez pas
by now	maintenant
by proceeding	en procédant
by proceeding northwest	en se dirigeant vers le nord-ouest
by spilling	en renversant
by your leave	par ta permission/à votre choix
came across	est tombé sur
can fill you in	peut vous renseigner
can i drop by	puis je passer
can you even afford to raise a child	pouvez-vous même vous permettre d'élever un enfant
cape	cap
care	soin/soucier
careless	imprudent
carry on	poursuivre
cast	jeté/plongé/lancé/moulage
cast into a deep slumber	plonger dans un profond sommeil
cast off	rejeter
catch up soon	on en reparle/se revoit bientôt
ceiling	plafond
cellar	cave
chasm	gouffre
chat up	bavarder
check in	enregistrer
check it out	Vérifiez-le
cheer	bravo
